month,group,suscep_risk
18,1,0
19,1,0
20,1,0
21,1,0.001240695
22,1,0.001240695
23,1,0.001240695
24,1,0.001240695
25,1,0.00413311
26,1,0.00413311
27,1,0.005829646
28,1,0.007650471
29,1,0.009600077
30,1,0.011588832
31,1,0.011588832
32,1,0.011588832
33,1,0.013674088
34,1,0.013674088
35,1,0.013674088
36,1,0.016000328
37,1,0.018460327
38,1,0.021443731
39,1,0.031960588
40,1,0.043712748
41,1,0.052734325
42,1,0.052734325
43,1,0.06394457
44,1,0.06394457
45,1,0.070678782
46,1,0.070678782
47,1,0.070678782
48,1,0.070678782
49,1,0.070678782
50,1,0.070678782
51,1,0.080065865
52,1,0.090287355
53,1,0.090287355
54,1,0.090287355
55,1,0.090287355
56,1,0.090287355
57,1,0.090287355
58,1,0.090287355
59,1,0.090287355
60,1,0.090287355
61,1,0.090287355
62,1,0.090287355
63,1,0.11704361
64,1,0.11704361
65,1,0.11704361
66,1,0.11704361
67,1,0.11704361
68,1,0.11704361
70,1,0.168982221
72,1,0.168982221
73,1,0.168982221
74,1,0.168982221
77,1,0.168982221
78,1,0.168982221
79,1,0.168982221
80,1,0.168982221
83,1,0.168982221
21,2,0
22,2,0
23,2,0
26,2,0
27,2,0
28,2,0
30,2,0
31,2,0
32,2,0
34,2,0
37,2,0
38,2,0
39,2,0
42,2,0
44,2,0
45,2,0
47,2,0.016666667
48,2,0.016666667
49,2,0.016666667
50,2,0.016666667
51,2,0.035220126
52,2,0.035220126
54,2,0.035220126
55,2,0.035220126
56,2,0.035220126
57,2,0.035220126
59,2,0.035220126
60,2,0.035220126
61,2,0.035220126
62,2,0.035220126
63,2,0.035220126
64,2,0.035220126
65,2,0.035220126
66,2,0.035220126
67,2,0.035220126
69,2,0.035220126
70,2,0.035220126
72,2,0.035220126
73,2,0.035220126
74,2,0.035220126
75,2,0.035220126
77,2,0.035220126
78,2,0.035220126
79,2,0.035220126
81,2,0.035220126
82,2,0.035220126
20,3,0.009433962
28,3,0.009433962
29,3,0.009433962
31,3,0.009433962
33,3,0.009433962
34,3,0.019339623
35,3,0.019339623
38,3,0.019339623
39,3,0.019339623
40,3,0.019339623
41,3,0.019339623
42,3,0.019339623
44,3,0.019339623
45,3,0.019339623
46,3,0.019339623
48,3,0.019339623
49,3,0.019339623
51,3,0.019339623
52,3,0.019339623
55,3,0.019339623
56,3,0.019339623
57,3,0.019339623
58,3,0.019339623
59,3,0.019339623
60,3,0.019339623
61,3,0.019339623
62,3,0.019339623
63,3,0.019339623
64,3,0.019339623
65,3,0.019339623
66,3,0.019339623
67,3,0.019339623
69,3,0.019339623
70,3,0.019339623
71,3,0.019339623
72,3,0.019339623
73,3,0.019339623
74,3,0.019339623
76,3,0.019339623
77,3,0.019339623
78,3,0.019339623
79,3,0.019339623
80,3,0.019339623
82,3,0.019339623
83,3,0.019339623
